region_name,DI,LD,MG,CZD,RL,RB,ML,SR,total_bugs
adv.br,3,0,29,0,0,0,0,1971,2003
ac.th,6,0,81,0,2,4,0,1534,1627
ac.in,0,0,71,0,7,1,0,735,814
ck.ua,0,0,0,0,0,1,0,488,489
ac.cn,0,0,12,0,0,1,0,214,227
ac.cy,0,0,0,0,0,1,0,18,19
co.pl,0,0,0,0,0,0,0,17,17
cmu.edu,6,0,6,0,0,1,0,3,16
bryansk.ru,0,0,0,0,0,1,0,6,7
chrysler.com,0,0,0,0,0,5,0,0,5
citadelle.ru,0,0,0,0,0,0,0,4,4
axhs.com,0,0,0,0,0,0,0,4,4
afrj.com,0,0,0,0,0,0,0,4,4
cng.br,0,0,0,0,0,0,0,4,4
bkbw.com,0,0,0,0,0,0,0,4,4
breakitoff.com,0,0,0,0,0,0,0,4,4
azpk.com,0,0,0,0,0,0,0,4,4
aflv.com,0,0,0,0,0,0,0,4,4
awyx.com,0,0,0,0,0,0,0,4,4
bhve.com,0,0,0,0,0,0,0,4,4
ac.mu,0,0,0,0,0,0,0,4,4
awzi.com,0,0,0,0,0,0,0,4,4
cafy.org,0,0,0,0,0,0,0,4,4
bir.ru,0,0,0,0,0,0,0,3,3
basf.com,0,0,0,0,0,0,0,2,2
51ns.com,0,0,0,0,0,0,0,2,2
collab.net,0,0,0,0,0,2,0,0,2
cdnhost.cn,0,0,0,0,0,0,0,2,2
allalla.com,0,0,0,0,0,0,0,2,2
bundwoffsetdruck.de,0,0,0,0,0,0,0,1,1
bpsurfboards.com,0,0,0,0,1,0,0,0,1
advancedmarketingsolutionsfl.com,0,0,0,0,1,0,0,0,1
airportmotorsgpt.com,0,0,0,0,1,0,0,0,1
alcatel.com,0,0,0,0,0,0,0,1,1
brillen-studio-az.de,0,0,0,0,0,1,0,0,1
adg7.com,0,0,0,0,0,0,0,1,1
3sphone.com,0,0,0,0,0,0,0,1,1
ciiflooring.com,0,0,0,0,0,0,0,1,1
0797rcw.com,0,0,0,0,0,1,0,0,1
bjaja.cn,0,0,0,0,0,0,0,1,1
basementremodelingomaha.com,0,0,0,0,1,0,0,0,1
batteryserver.net,0,0,1,0,0,0,0,0,1
atrila.net,0,0,0,0,0,1,0,0,1
coco-flower.com,0,0,0,0,0,0,0,1,1
bronnoy.no,0,0,0,0,0,0,0,1,1
co.cu,0,0,1,0,0,0,0,0,1
beachromana.com,0,0,0,0,1,0,0,0,1
clftech.com,0,0,1,0,0,0,0,0,1
americanpremiumoil.com,0,0,0,0,1,0,0,0,1
9ge.com,0,0,0,0,0,0,0,1,1
aerovital.ru,0,0,0,0,0,1,0,0,1
boyfriendtv.com,0,0,0,0,0,0,0,1,1
clinicaloptions.com,0,0,0,0,0,0,0,1,1
binghamton.edu,0,0,0,0,0,1,0,0,1
astro.it,0,0,1,0,0,0,0,0,1
as2116.net,0,0,0,0,0,0,0,1,1
blacklisted.pl,0,0,0,0,0,0,0,1,1
avagodigital.com,0,0,0,0,0,0,0,1,1
co.kg,0,0,0,0,0,0,0,1,1
athenssalonandspa.com,0,0,0,0,1,0,0,0,1
6ae6.com,0,0,0,0,0,1,0,0,1
babymattressfurniture.com,0,0,0,0,1,0,0,0,1
alpacafullmoon.com,0,0,0,0,1,0,0,0,1
birdo.jp,0,0,0,0,0,0,0,1,1
