region_name,nodes,edges,edge_node_ratio
abujapropertyco.com,13,12,0.9230769230769231
202.com,11,10,0.9090909090909091
afreesite.net,27,30,1.1111111111111112
cnsltd.com,13,14,1.0769230769230769
collectivehaul.com,14,13,0.9285714285714286
alepato.com,29,28,0.9655172413793104
abhacool.com,11,10,0.9090909090909091
ajova.net,32,36,1.125
6star.net,35,37,1.0571428571428572
bbplz.com,12,13,1.0833333333333333
bilraqlaw.com,15,14,0.9333333333333333
1031explained.com,12,13,1.0833333333333333
1clickbd.com,17,16,0.9411764705882353
bishopleroydavisministries.org,17,19,1.1176470588235294
cassanodadda.com,12,13,1.0833333333333333
aygs.com,12,13,1.0833333333333333
1ppl.com,14,14,1.0
buncomic.com,15,16,1.0666666666666667
a-sf.com,12,13,1.0833333333333333
burnopfield.net,14,15,1.0714285714285714
baja.eu,12,13,1.0833333333333333
boxingscene.com,30,36,1.2
buzzybees.com,15,16,1.0666666666666667
chocay.net,19,20,1.0526315789473684
batsnballs.info,14,15,1.0714285714285714
clicktoenter.com,14,13,0.9285714285714286
bouncefunplex.com,11,10,0.9090909090909091
audiovideoconcepts.net,10,9,0.9
alexwichert.com,13,14,1.0769230769230769
benelliclubgb.net,17,16,0.9411764705882353
bluespy.net,18,17,0.9444444444444444
barrympeterson.com,17,16,0.9411764705882353
buenosdiasflorida.com,17,16,0.9411764705882353
c9035.cn,5,4,0.8
camvas.com,14,15,1.0714285714285714
cinepipoca.net,13,12,0.9230769230769231
03941.de,12,13,1.0833333333333333
bintankitecenter.com,13,12,0.9230769230769231
4lava.com,18,17,0.9444444444444444
austro-immo.de,17,16,0.9411764705882353
allenhalloween.com,16,17,1.0625
b-zyz.com,9,8,0.8888888888888888
cocabags.com,17,16,0.9411764705882353
chivuco.com,21,20,0.9523809523809523
aktcam.de,12,13,1.0833333333333333
95f.com,8,7,0.875
authoritydomain.com,13,12,0.9230769230769231
1aq.net,15,14,0.9333333333333333
8ks.com,13,14,1.0769230769230769
bigblondtits.com,16,15,0.9375
assistirjogos.net,13,14,1.0769230769230769
apocrypha.us,11,10,0.9090909090909091
biologia.com,13,14,1.0769230769230769
besonderekinder.de,14,15,1.0714285714285714
9zll.com,5,4,0.8
2cv.net,15,14,0.9333333333333333
christianpathologist.com,21,20,0.9523809523809523
acpsupplies.com,13,12,0.9230769230769231
94975.com,12,13,1.0833333333333333
biskaia.net,13,14,1.0769230769230769
bergamini.eu,12,13,1.0833333333333333
cnkmt.com,20,24,1.2
benelliamerica.com,17,16,0.9411764705882353
4sheart.com,13,12,0.9230769230769231
afilihosting.com,12,11,0.9166666666666666
cognite.jp,13,14,1.0769230769230769
bojicafe.com,23,27,1.173913043478261
29lm.com,13,12,0.9230769230769231
2mesh.net,35,48,1.3714285714285714
belladan.com,11,10,0.9090909090909091
ausim.com,12,13,1.0833333333333333
20kxy.com,14,13,0.9285714285714286
c-arts.ru,21,23,1.0952380952380953
b-daman.com,12,11,0.9166666666666666
billiecotton.com,24,29,1.2083333333333333
atrila.net,53,58,1.0943396226415094
azguard.com,15,14,0.9333333333333333
blauertacho4u.de,18,20,1.1111111111111112
c6229.cn,5,4,0.8
autobloggingblueprint.com,12,13,1.0833333333333333
21carinsurance.org,17,16,0.9411764705882353
alteposthattingen.de,14,15,1.0714285714285714
biur.com,17,16,0.9411764705882353
analoge.com,12,13,1.0833333333333333
badrish.com,12,13,1.0833333333333333
badewannenshop24.de,15,14,0.9333333333333333
c6025.cn,5,4,0.8
b2514.cn,5,4,0.8
auroratownship.org,13,12,0.9230769230769231
carterlakepd.com,12,13,1.0833333333333333
54536.de,12,13,1.0833333333333333
caosclub.org,14,15,1.0714285714285714
52dr.com,19,18,0.9473684210526315
cnpcaa.com,5,4,0.8
basilios.net,16,15,0.9375
bj7ch.com,13,14,1.0769230769230769
babakale.com,12,13,1.0833333333333333
2387.de,12,13,1.0833333333333333
brd8.com,11,10,0.9090909090909091
bpaq.com,15,15,1.0
antithesis.org,15,16,1.0666666666666667
cardcasters.com,13,14,1.0769230769230769
aircraftshots.com,13,14,1.0769230769230769
bostongals.com,18,18,1.0
cheapthrills.net,11,10,0.9090909090909091
briarhopper.com,15,16,1.0666666666666667
9n.ca,15,16,1.0666666666666667
altawheedislamiccenter.com,15,16,1.0666666666666667
augce.com,12,13,1.0833333333333333
bbcradio.eu,12,13,1.0833333333333333
cassarisparmio.com,14,13,0.9285714285714286
ccne.com,8,7,0.875
andorracorp.com,15,14,0.9333333333333333
aviationschoolsonline.com,17,18,1.0588235294117647
averagerating.com,17,16,0.9411764705882353
b766.cn,5,4,0.8
bluebatmobile.com,15,16,1.0666666666666667
bevelled.com,12,11,0.9166666666666666
alcoholicos.net,12,13,1.0833333333333333
apartments360.de,14,15,1.0714285714285714
5jul.com,14,13,0.9285714285714286
billigster.at,12,13,1.0833333333333333
capigroupe.net,24,23,0.9583333333333334
azzaza.com,13,12,0.9230769230769231
austinem.com,20,24,1.2
36g.com,11,10,0.9090909090909091
axthony.me,14,15,1.0714285714285714
blvo.com,40,45,1.125
32zp.com,5,4,0.8
boxingift.com,13,12,0.9230769230769231
bleh9.com,3,2,0.6666666666666666
apurie.com,34,37,1.088235294117647
8mhk.com,3,2,0.6666666666666666
cashadvance31.com,21,20,0.9523809523809523
blogatronica.com,15,16,1.0666666666666667
bhhq.com,18,17,0.9444444444444444
327ss.com,15,15,1.0
artsacademy.it,14,15,1.0714285714285714
classvisits.com,15,15,1.0
adteractive.com,26,25,0.9615384615384616
98z.com,13,13,1.0
50ci.com,12,11,0.9166666666666666
batistainfo.com,13,14,1.0769230769230769
carbi.com,20,21,1.05
blackbabe.de,12,13,1.0833333333333333
cloudmusic.pro,15,14,0.9333333333333333
adpersonam.org,13,12,0.9230769230769231
allopurinol.de,12,13,1.0833333333333333
